,link
0,https://www.transfermarkt.com/ederson/profil/spieler/238223
1,https://www.transfermarkt.com/scott-carson/profil/spieler/14555
2,https://www.transfermarkt.com/josko-gvardiol/profil/spieler/475959
3,https://www.transfermarkt.com/nathan-ake/profil/spieler/177476
4,https://www.transfermarkt.com/sergio-gomez/profil/spieler/366930
5,https://www.transfermarkt.com/kyle-walker/profil/spieler/95424
6,https://www.transfermarkt.com/matheus-nunes/profil/spieler/601883
7,https://www.transfermarkt.com/bernardo-silva/profil/spieler/241641
8,https://www.transfermarkt.com/jack-grealish/profil/spieler/203460
9,https://www.transfermarkt.com/phil-foden/profil/spieler/406635
10,https://www.transfermarkt.com/julian-alvarez/profil/spieler/576024
11,https://www.transfermarkt.com/stefan-ortega/profil/spieler/85941
12,https://www.transfermarkt.com/ruben-dias/profil/spieler/258004
13,https://www.transfermarkt.com/manuel-akanji/profil/spieler/284730
14,https://www.transfermarkt.com/john-stones/profil/spieler/186590
15,https://www.transfermarkt.com/rico-lewis/profil/spieler/701057
16,https://www.transfermarkt.com/rodri/profil/spieler/357565
17,https://www.transfermarkt.com/mateo-kovacic/profil/spieler/51471
18,https://www.transfermarkt.com/kevin-de-bruyne/profil/spieler/88755
19,https://www.transfermarkt.com/jeremy-doku/profil/spieler/486049
20,https://www.transfermarkt.com/oscar-bobb/profil/spieler/661207
21,https://www.transfermarkt.com/erling-haaland/profil/spieler/418560
22,https://www.transfermarkt.com/robert-sanchez/profil/spieler/403151
23,https://www.transfermarkt.com/marcus-bettinelli/profil/spieler/116648
24,https://www.transfermarkt.com/levi-colwill/profil/spieler/614258
25,https://www.transfermarkt.com/benoit-badiashile/profil/spieler/463603
26,https://www.transfermarkt.com/trevoh-chalobah/profil/spieler/346314
27,https://www.transfermarkt.com/thiago-silva/profil/spieler/29241
28,https://www.transfermarkt.com/ben-chilwell/profil/spieler/316125
29,https://www.transfermarkt.com/reece-james/profil/spieler/472423
30,https://www.transfermarkt.com/moises-caicedo/profil/spieler/687626
31,https://www.transfermarkt.com/lesley-ugochukwu/profil/spieler/711999
32,https://www.transfermarkt.com/conor-gallagher/profil/spieler/488362
33,https://www.transfermarkt.com/cesare-casadei/profil/spieler/622380
34,https://www.transfermarkt.com/cole-palmer/profil/spieler/568177
35,https://www.transfermarkt.com/mykhaylo-mudryk/profil/spieler/537860
36,https://www.transfermarkt.com/noni-madueke/profil/spieler/503987
37,https://www.transfermarkt.com/deivid-washington/profil/spieler/1082850
38,https://www.transfermarkt.com/dorde-petrovic/profil/spieler/465555
39,https://www.transfermarkt.com/lucas-bergstrom/profil/spieler/490606
40,https://www.transfermarkt.com/axel-disasi/profil/spieler/386047
41,https://www.transfermarkt.com/wesley-fofana/profil/spieler/475411
42,https://www.transfermarkt.com/malang-sarr/profil/spieler/344596
43,https://www.transfermarkt.com/alfie-gilchrist/profil/spieler/790992
44,https://www.transfermarkt.com/marc-cucurella/profil/spieler/284857
45,https://www.transfermarkt.com/malo-gusto/profil/spieler/620322
46,https://www.transfermarkt.com/romeo-lavia/profil/spieler/628451
47,https://www.transfermarkt.com/enzo-fernandez/profil/spieler/648195
48,https://www.transfermarkt.com/carney-chukwuemeka/profil/spieler/659459
49,https://www.transfermarkt.com/christopher-nkunku/profil/spieler/344381
50,https://www.transfermarkt.com/raheem-sterling/profil/spieler/134425
51,https://www.transfermarkt.com/diego-moreira/profil/spieler/655006
52,https://www.transfermarkt.com/nicolas-jackson/profil/spieler/776890
53,https://www.transfermarkt.com/guglielmo-vicario/profil/spieler/286047
54,https://www.transfermarkt.com/brandon-austin/profil/spieler/428016
55,https://www.transfermarkt.com/cristian-romero/profil/spieler/355915
56,https://www.transfermarkt.com/radu-dragusin/profil/spieler/568559
57,https://www.transfermarkt.com/ben-davies/profil/spieler/192765
58,https://www.transfermarkt.com/emerson-royal/profil/spieler/476344
59,https://www.transfermarkt.com/oliver-skipp/profil/spieler/406638
60,https://www.transfermarkt.com/rodrigo-bentancur/profil/spieler/354362
61,https://www.transfermarkt.com/ryan-sessegnon/profil/spieler/392775
62,https://www.transfermarkt.com/giovani-lo-celso/profil/spieler/348795
63,https://www.transfermarkt.com/manor-solomon/profil/spieler/396638
64,https://www.transfermarkt.com/brennan-johnson/profil/spieler/470607
65,https://www.transfermarkt.com/richarlison/profil/spieler/378710
66,https://www.transfermarkt.com/fraser-forster/profil/spieler/52570
67,https://www.transfermarkt.com/alfie-whiteman/profil/spieler/282823
68,https://www.transfermarkt.com/micky-van-de-ven/profil/spieler/557459
69,https://www.transfermarkt.com/destiny-udogie/profil/spieler/556385
70,https://www.transfermarkt.com/pedro-porro/profil/spieler/553875
71,https://www.transfermarkt.com/pierre-emile-hojbjerg/profil/spieler/167799
72,https://www.transfermarkt.com/pape-matar-sarr/profil/spieler/568693
73,https://www.transfermarkt.com/yves-bissouma/profil/spieler/410425
74,https://www.transfermarkt.com/james-maddison/profil/spieler/294057
75,https://www.transfermarkt.com/heung-min-son/profil/spieler/91845
76,https://www.transfermarkt.com/dejan-kulusevski/profil/spieler/431755
77,https://www.transfermarkt.com/bryan-gil/profil/spieler/537382
78,https://www.transfermarkt.com/timo-werner/profil/spieler/170527
79,https://www.transfermarkt.com/nick-pope/profil/spieler/192080
80,https://www.transfermarkt.com/loris-karius/profil/spieler/85864
81,https://www.transfermarkt.com/sven-botman/profil/spieler/361093
82,https://www.transfermarkt.com/jamaal-lascelles/profil/spieler/183318
83,https://www.transfermarkt.com/lewis-hall/profil/spieler/670858
84,https://www.transfermarkt.com/dan-burn/profil/spieler/134270
85,https://www.transfermarkt.com/kieran-trippier/profil/spieler/95810
86,https://www.transfermarkt.com/bruno-guimaraes/profil/spieler/520624
87,https://www.transfermarkt.com/joelinton/profil/spieler/333241
88,https://www.transfermarkt.com/sean-longstaff/profil/spieler/346707
89,https://www.transfermarkt.com/matt-ritchie/profil/spieler/92469
90,https://www.transfermarkt.com/anthony-gordon/profil/spieler/503733
91,https://www.transfermarkt.com/miguel-almiron/profil/spieler/272999
92,https://www.transfermarkt.com/alexander-isak/profil/spieler/349066
93,https://www.transfermarkt.com/martin-dubravka/profil/spieler/74960
94,https://www.transfermarkt.com/mark-gillespie/profil/spieler/142389
95,https://www.transfermarkt.com/fabian-schar/profil/spieler/135343
96,https://www.transfermarkt.com/paul-dummett/profil/spieler/170321
97,https://www.transfermarkt.com/matt-targett/profil/spieler/250478
98,https://www.transfermarkt.com/tino-livramento/profil/spieler/503981
99,https://www.transfermarkt.com/emil-krafth/profil/spieler/184528
100,https://www.transfermarkt.com/sandro-tonali/profil/spieler/397033
101,https://www.transfermarkt.com/joe-willock/profil/spieler/340329
102,https://www.transfermarkt.com/lewis-miley/profil/spieler/922769
103,https://www.transfermarkt.com/elliot-anderson/profil/spieler/567576
104,https://www.transfermarkt.com/harvey-barnes/profil/spieler/398065
105,https://www.transfermarkt.com/jacob-murphy/profil/spieler/199527
106,https://www.transfermarkt.com/callum-wilson/profil/spieler/123682
107,https://www.transfermarkt.com/bart-verbruggen/profil/spieler/565093
108,https://www.transfermarkt.com/tom-mcgill/profil/spieler/406556
109,https://www.transfermarkt.com/igor/profil/spieler/380350
110,https://www.transfermarkt.com/lewis-dunk/profil/spieler/148153
111,https://www.transfermarkt.com/valentin-barco/profil/spieler/849410
112,https://www.transfermarkt.com/joel-veltman/profil/spieler/111195
113,https://www.transfermarkt.com/billy-gilmour/profil/spieler/423744
114,https://www.transfermarkt.com/jakub-moder/profil/spieler/384461
115,https://www.transfermarkt.com/james-milner/profil/spieler/3333
