,link
0,https://www.transfermarkt.com/vladislavs-razumejevs/profil/spieler/935594
1,https://www.transfermarkt.com/atanas-kehayov/profil/spieler/926648
2,https://www.transfermarkt.com/francesco-chesti/profil/spieler/721228
3,https://www.transfermarkt.com/matteo-plaia/profil/spieler/929871
4,https://www.transfermarkt.com/mattia-boldrini/profil/spieler/926841
5,https://www.transfermarkt.com/simone-ienco/profil/spieler/895562
6,https://www.transfermarkt.com/martin-vetkal/profil/spieler/488297
7,https://www.transfermarkt.com/niccolo-pisilli/profil/spieler/813137
8,https://www.transfermarkt.com/francesco-dalessio/profil/spieler/723614
9,https://www.transfermarkt.com/leonardo-graziani/profil/spieler/928032
10,https://www.transfermarkt.com/joao-costa/profil/spieler/936536
11,https://www.transfermarkt.com/fabrizio-marazzotti/profil/spieler/746713
12,https://www.transfermarkt.com/filippo-alessio/profil/spieler/830243
13,https://www.transfermarkt.com/luka-mlakar/profil/spieler/866221
14,https://www.transfermarkt.com/renato-marin/profil/spieler/1041614
15,https://www.transfermarkt.com/dimitrios-keramitsis/profil/spieler/861192
16,https://www.transfermarkt.com/mohamed-seck/profil/spieler/1116502
17,https://www.transfermarkt.com/lovro-golic/profil/spieler/991751
18,https://www.transfermarkt.com/jan-oliveras/profil/spieler/709970
19,https://www.transfermarkt.com/filippo-reale/profil/spieler/1053217
20,https://www.transfermarkt.com/mate-ivkovic/profil/spieler/892162
21,https://www.transfermarkt.com/riccardo-pagano/profil/spieler/659415
22,https://www.transfermarkt.com/mattia-mannini/profil/spieler/803005
23,https://www.transfermarkt.com/luigi-cherubini/profil/spieler/721227
24,https://www.transfermarkt.com/manuel-nardozi/profil/spieler/1055829
25,https://www.transfermarkt.com/kevin-zefi/profil/spieler/741225
26,https://www.transfermarkt.com/giulio-misitano/profil/spieler/928046
27,https://www.transfermarkt.com/noah-raveyre/profil/spieler/986180
28,https://www.transfermarkt.com/lorenzo-torriani/profil/spieler/939745
29,https://www.transfermarkt.com/jan-carlo-simic/profil/spieler/800948
30,https://www.transfermarkt.com/clinton-nsiala/profil/spieler/910175
31,https://www.transfermarkt.com/pietro-parmiggiani/profil/spieler/1058394
32,https://www.transfermarkt.com/alex-jimenez/profil/spieler/741257
33,https://www.transfermarkt.com/vittorio-magni/profil/spieler/1058396
34,https://www.transfermarkt.com/mattia-malaspina/profil/spieler/918252
35,https://www.transfermarkt.com/tommaso-mancioppi/profil/spieler/938677
36,https://www.transfermarkt.com/emanuele-sala/profil/spieler/1044818
37,https://www.transfermarkt.com/hugo-cuenca/profil/spieler/906315
38,https://www.transfermarkt.com/alessandro-bonomi/profil/spieler/1056269
39,https://www.transfermarkt.com/filippo-scotti/profil/spieler/938676
40,https://www.transfermarkt.com/francesco-camarda/profil/spieler/1058368
41,https://www.transfermarkt.com/andrea-bartoccioni/profil/spieler/815550
42,https://www.transfermarkt.com/edoardo-colzani/profil/spieler/964243
43,https://www.transfermarkt.com/fredrik-nissen/profil/spieler/920309
44,https://www.transfermarkt.com/dorian-paloschi/profil/spieler/935518
45,https://www.transfermarkt.com/davide-bartesaghi/profil/spieler/887638
46,https://www.transfermarkt.com/adam-bakoune/profil/spieler/1010150
47,https://www.transfermarkt.com/victor-eletu/profil/spieler/935508
48,https://www.transfermarkt.com/dariusz-stalmach/profil/spieler/826795
49,https://www.transfermarkt.com/kevin-zeroli/profil/spieler/883349
50,https://www.transfermarkt.com/vincenzo-perrucci/profil/spieler/935539
51,https://www.transfermarkt.com/mateusz-skoczylas/profil/spieler/991458
52,https://www.transfermarkt.com/diego-sia/profil/spieler/999402
53,https://www.transfermarkt.com/mattia-liberali/profil/spieler/988964
54,https://www.transfermarkt.com/alexander-simmelhack/profil/spieler/935358
55,https://www.transfermarkt.com/federico-magro/profil/spieler/818898
56,https://www.transfermarkt.com/davide-renzetti/profil/spieler/918957
57,https://www.transfermarkt.com/stefano-dagostini/profil/spieler/1192859
58,https://www.transfermarkt.com/matteo-dutu/profil/spieler/883055
59,https://www.transfermarkt.com/alessandro-milani/profil/spieler/883058
60,https://www.transfermarkt.com/marco-nazzaro/profil/spieler/929742
61,https://www.transfermarkt.com/jacopo-sardo/profil/spieler/993212
62,https://www.transfermarkt.com/luca-napolitano/profil/spieler/745446
63,https://www.transfermarkt.com/sana-fernandes/profil/spieler/1026255
